outer_fold,test_subjects,outer_development_subjects,model_name,candidate_index,candidate_id,candidate_parameters_json,eligible_for_selection,selection_rank,is_selected,complexity_rank,fold_count,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_cohen_kappa,std_cohen_kappa,mean_multiclass_log_loss,std_multiclass_log_loss
2,1,"0,2,3",sgd_logistic,5,sgd_logistic__candidate_005,"{""classifier__alpha"":1e-05,""classifier__l1_ratio"":0.5,""classifier__penalty"":""elasticnet""}",True,15,False,2,3,0.624818524345,0.0379824631882,0.665204845512,0.0262771454234,0.737791638402,0.0260587136024,0.743530164422,0.0350679128821,0.637409698087,0.0626713625592,4.96196303873,0.157103621836
2,1,"0,2,3",sgd_logistic,6,sgd_logistic__candidate_006,"{""classifier__alpha"":0.0001,""classifier__l1_ratio"":0.15,""classifier__penalty"":""elasticnet""}",True,6,False,2,3,0.635360811974,0.0380317352524,0.6665038686,0.0324334959066,0.742746421258,0.0226343717778,0.752468277297,0.0180355577066,0.644039405062,0.0474429192881,2.24523941232,0.658327013516
2,1,"0,2,3",sgd_logistic,7,sgd_logistic__candidate_007,"{""classifier__alpha"":0.0001,""classifier__l1_ratio"":0.5,""classifier__penalty"":""elasticnet""}",True,2,False,2,3,0.639997340195,0.0447727290529,0.67262723764,0.0367006011696,0.75051697962,0.0278181230668,0.757480965647,0.0172741132352,0.655437485409,0.0430453175723,2.18697498748,0.987367908818
2,1,"0,2,3",sgd_logistic,8,sgd_logistic__candidate_008,"{""classifier__alpha"":0.001,""classifier__l1_ratio"":0.15,""classifier__penalty"":""elasticnet""}",True,27,False,2,3,0.492263316712,0.0528395166395,0.525786264922,0.0436045810523,0.634137618729,0.072268702882,0.65461026277,0.0744967780212,0.510084528717,0.0992851028524,1.35491705234,0.197469333644
2,1,"0,2,3",sgd_logistic,9,sgd_logistic__candidate_009,"{""classifier__alpha"":0.001,""classifier__l1_ratio"":0.5,""classifier__penalty"":""elasticnet""}",True,28,False,2,3,0.374557977487,0.0228846905581,0.406837609538,0.0315140788012,0.496710095539,0.0332747624058,0.526472732476,0.0563540472626,0.324403420065,0.0590793395394,3.0192868016,0.617214330074
2,1,"0,2,3",random_forest,1,random_forest__candidate_001,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,21,False,3,3,0.61655826693,0.0369828834747,0.62351897297,0.0424114032779,0.733121387484,0.0246164988501,0.744072435215,0.0123748728953,0.628511336882,0.0259793854792,0.641531054821,0.040001211791
2,1,"0,2,3",random_forest,2,random_forest__candidate_002,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,3,False,3,3,0.63848360199,0.059349192488,0.65866140351,0.0505902297234,0.752053435295,0.0405818235476,0.755177698236,0.0476675969982,0.649098823373,0.0816588792178,0.645728108748,0.0867940524292
2,1,"0,2,3",random_forest,3,random_forest__candidate_003,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,24,False,3,3,0.612385033474,0.0460606720091,0.61768291221,0.0555846747786,0.732107279825,0.0286570290416,0.743573600839,0.0162317018655,0.625678699052,0.0403088742563,0.62135275122,0.0671847438995
2,1,"0,2,3",random_forest,4,random_forest__candidate_004,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,9,False,3,3,0.633174562527,0.075497956994,0.650052131511,0.0693200486329,0.74999039238,0.0496622204339,0.753025959492,0.0485293739202,0.64316421574,0.0875018531548,0.622797251891,0.115787040143
2,1,"0,2,3",random_forest,5,random_forest__candidate_005,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,20,False,3,3,0.617567375203,0.0346148986677,0.626138752215,0.0374578519266,0.735927950436,0.0180038525315,0.746516337865,0.00848015500779,0.632219612025,0.0315987176465,0.63104783898,0.0426482403064
